"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-10-31","66","H,,S","70",",,W","59",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-01","61","H,,S","69",",,W","50",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-02","52","H,,S","61",",,W","43",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-03","47","H,,S","57",",,W","38",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-04","50","H,,S","64",",,W","42",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-05","57","H,,S","64",",,W","50",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-06","59","H,,S","69",",,W","46",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-07","48","H,,S","53",",,W","38",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-08","44","H,,S","55",",,W","32",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-09","48","H,,S","64",",,W","35",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-10","52","H,,S","58",",,W","37",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-11","47","H,,S","66",",,W","34",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-12","41","H,,S","44",",,W","30",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-13","33","H,,S","43",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-14","40","H,,S","57",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-15","47","H,,S","56",",,W","38",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-16","52","H,,S","64",",,W","47",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-17","63","H,,S","69",",,W","51",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-18","53","H,,S","57",",,W","42",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-19","41","H,,S","47",",,W","34",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-20","40","H,,S","56",",,W","31",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-21","51","H,,S","65",",,W","43",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-22","56","H,,S","59",",,W","42",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-23","40","H,,S","46",",,W","25",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-24","26","H,,S","32",",,W","20",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-25","32","H,,S","42",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-26","35","H,,S","37",",,W","34",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-27","32","H,,S","36",",,W","21",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-28","27","H,,S","40",",,W","20",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-29","33","H,,S","47",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-11-30","39","H,,S","57",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-01","50","H,,S","56",",,W","43",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-02","46","H,,S","58",",,W","38",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-03","51","H,,S","59",",,W","42",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-04","58","H,,S","71",",,W","50",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-05","58","H,,S","70",",,W","34",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-06","32","H,,S","35",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-07","26","H,,S","28",",,W","19",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-08","26","H,,S","34",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-09","32","H,,S","34",",,W","27",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-10","27","H,,S","32",",,W","22",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-11","28","H,,S","38",",,W","20",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-12","22","H,,S","30",",,W","12",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-13","31","H,,S","44",",,W","23",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-14","38","H,,S","42",",,W","35",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-15","32","H,,S","35",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-16","36","H,,S","46",",,W","32",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-17","38","H,,S","45",",,W","30",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-18","34","H,,S","45",",,W","25",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-19","49","H,,S","63",",,W","42",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-20","57","H,,S","64",",,W","52",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-21","63","H,,S","70",",,W","60",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-22","58","H,,S","63",",,W","38",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-23","36","H,,S","38",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-24","24","H,,S","28",",,W","16",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-25","26","H,,S","42",",,W","19",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-26","38","H,,S","44",",,W","30",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-27","37","H,,S","52",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-28","41","H,,S","52",",,W","31",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-29","42","H,,S","49",",,W","32",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-30","30","H,,S","32",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2013-12-31","29","H,,S","40",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-01","37","H,,S","49",",,W","29",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-02","35","H,,S","41",",,W","16",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-03","17","H,,S","25",",,W","12",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-04","28","H,,S","43",",,W","18",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-05","41","H,,S","56",",,W","19",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-06","11","H,,S","19",",,W","-3",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-07","4","H,,S","16",",,W","-2",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-08","21","H,,S","35",",,W","11",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-09","34","H,,S","42",",,W","29",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-10","41","H,,S","55",",,W","35",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-11","50","H,,S","54",",,W","37",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-12","41","H,,S","52",",,W","33",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-13","50","H,,S","54",",,W","46",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-14","44","H,,S","54",",,W","31",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-15","32","H,,S","35",",,W","22",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-16","27","H,,S","37",",,W","20",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-17","29","H,,S","36",",,W","16",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-18","22","H,,S","36",",,W","17",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-19","34","H,,S","40",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-20","43","H,,S","53",",,W","37",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-21","29","H,,S","38",",,W","9",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-22","12","H,,S","22",",,W","5",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-23","14","H,,S","22",",,W","5",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-24","9","H,,S","25",",,W","2",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-25","29","H,,S","40",",,W","18",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-26","31","H,,S","53",",,W","17",",,W",,
